word,count
gl,141
vec,134
float,47
i,44
fragcolor,39
uniform,28
position,27
if,25
frontmaterial,24
normal,24
lightsource,23
d,22
diffuse,22
int,22
normalize,20
sptex,20
varying,20
void,20
lightvec,17
attenuation,16
texcolor,16
dis,15
specular,15
sposition,15
y,15
ambient,14
fnormal,14
max,14
val,14
color,13
difflight,13
ds,12
else,12
result,12
texture,12
x,12
a,11
speclight,11
diffusemap,10
intensity,10
liint,10
main,10
sampler,10
texcoord,10
to,10
version,10
preset,9
shadeds,9
xyz,9
amblight,8
isdiffusetex,8
return,8
diffcolor,7
dot,7
slinearattenuation,7
halfvec,6
ndotl,6
sconstantattenuation,6
speccolor,6
spheremap,6
squadraticattenuation,6
st,6
toonmap,6
ftransform,5
l,5
n,5
normalmatrix,5
pow,5
toontexcoord,5
emission,4
frontcolor,4
isspheretex,4
istoontex,4
m,4
matrotate,4
modelviewmatrix,4
multitexcoord,4
ndoth,4
parts,4
shading,4
shalfvector,4
shininess,4
spadd,4
texturematrix,4
vertex,4
constantattenuation,3
face,3
for,3
halfvector,3
isusematerial,3
length,3
lightlit,3
lightmodel,3
linearattenuation,3
lit,3
point,3
quadraticattenuation,3
step,3
view,3
w,3
z,3
ambcolor,2
angle,2
clamp,2
ear,2
endif,2
eye,2
h,2
layout,2
left,2
mat,2
min,2
reflectvec,2
rgb,2
right,2
viewvec,2
background,1
bg,1
character,1
expression,1
facial,1
feature,1
hair,1
lat,1
light,1
lower,1
lut,1
map,1
material,1
matrial,1
mmd,1
motion,1
movable,1
moveable,1
object,1
off,1
on,1
pose,1
reflect,1
seating,1
situation,1
small,1
style,1
todo,1
toon,1
u,1
unique,1
upper,1
v,1
xy,1
