source,target
%s - Verify License,%s - Проверка лицензии
%s - Cancel License Verification,%s - Отмена проверки лицензии
%s - Processing License Verification,%s - Выполняется проверка лицензии
%s - License Verified Successfully,%s - Лицензия успешно проверена
%s - Error Verifying License,%s - Ошибка проверки лицензии
%s - License Expired,%s - Срок действия лицензии истёк
%s - Cancel Trial Registration,%s - Отмена регистрации пробной версии
%s - Processing Trial Registration,%s - Выполняется регистрация пробной версии
%s - Trial Registered Successfully,%s - Пробная версия успешно зарегистрирована
%s - Error Registering Trial,%s - Ошибка регистрации пробной версии
%s - Register Trial,%s - Регистрация пробной версии
%s - Trial Expiration,%s - Окончание пробного периода
%s - Firewall Authentication,%s - Аутентификация брандмауэра
Trial version: You can use limited features.,Пробная версия: доступны ограниченные функции.
Trial version: You can use all features for %d more days.,Пробная версия: все функции доступны ещё %d дн.
Trial version: You can use all features,Пробная версия: доступны все функции
Trial version: Trial period will expire in %d days.,Пробная версия: пробный период истекает через %d дн.
Trial version: Trial period has expired.,Пробная версия: пробный период истёк.
 - Next license verification will be after %d days., - Следующая проверка лицензии будет через %d дн.
 - Next license verification will be in %d days., - Следующая проверка лицензии будет через %d дн.
 - License will be verified upon next launch of the software., - Лицензия будет проверена при следующем запуске программы.
You can use all features for another %d days.,Все функции доступны ещё %d дн.
You can use all features,Доступны все функции
License period will expire in %d days.,Срок действия лицензии истекает через %d дн.
License period has expired.,Срок действия лицензии истёк.
Lost your serial number?,Потеряли серийный номер?
https://www2.celsys.co.jp/support/service_en/service.html,https://www2.celsys.co.jp/support/service_en/service.html
http://www.clipstudio.net/en/,http://www.clipstudio.net/en/
http://www.clipstudio.net/en/support/,http://www.clipstudio.net/en/support/
https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=,https://us-lic.celsys.co.jp/productcontrol/ periodexpired?key=
https://us-lic.celsys.co.jp/activate/checkLicense?OnAction,https://us-lic.celsys.co.jp/activate/checkLicense?OnAction
https://license-account-us.celsys.co.jp/%s/api/checkLicense,https://license-account-us.celsys.co.jp/%s/api/checkLicense
https://license-account-us.celsys.co.jp/%s/api/refreshLicense,https://license-account-us.celsys.co.jp/%s/api/refreshLicense
---,---
https://trial-us-lic.celsys.co.jp/api/autoissue,https://trial-us-lic.celsys.co.jp/api/autoissue
https://sub-us-lic.celsys.co.jp/license/checkLicense?OnAction,https://sub-us-lic.celsys.co.jp/license/checkLicense?OnAction
