source,target
Adapt view to editing target,Подогнать вид под цель редактирования
Make canvas camera reflect perspective view,Синхронизировать камеру холста с перспективным видом
Make perspective view camera reflect canvas,Синхронизировать камеру перспективного вида с холстом
Show face border edge,Показать рёбра граней
Sync perspective view and canvas,Синхронизировать перспективный вид и холст
Always show camera and visible area,Всегда показывать камеру и видимую область
Revert dividing position to default.,Вернуть положение разделителя по умолчанию.
Show command bar,Показать панель команд
Select view layout,Выбрать макет вида
Makes canvas camera reflect perspective view,Синхронизирует камеру холста с перспективным видом
Makes perspective view camera reflect canvas,Синхронизирует камеру перспективного вида с холстом
Shows face border edge,Показывает рёбра граней
Syncs perspective view and canvas,Синхронизирует перспективный вид и холст
Always shows camera and visible area,Всегда показывает камеру и видимую область
Up Perspective/Front Right,Перспектива сверху / Спереди справа
Perspective Up/Right Back,Перспектива сверху / Справа сзади
Up Perspective/Back Left,Перспектива сверху / Сзади слева
Perspective Up/Left Front,Перспектива сверху / Слева спереди
Front Right/Bottom Perspective,Спереди справа / Перспектива снизу
Right Back/Perspective Bottom,Справа сзади / Перспектива снизу
Back Left/Bottom Perspective,Сзади слева / Перспектива снизу
Left Front/Perspective Bottom,Слева спереди / Перспектива снизу
Perspective view,Перспективный вид
Front view,Вид спереди
Back view,Вид сзади
Left view,Вид слева
Right view,Вид справа
Top view,Вид сверху
Bottom view,Вид снизу
Hide elements that are further forward than the specified point and only show the back,"Скрыть элементы, расположенные ближе указанной точки, и показать только заднюю часть"
View settings,Настройки вида
Hide foreground,Скрыть передний план
Import file (%s),Импортировать файл (%s)
Range of frames to import as pose sequence,Диапазон кадров для импорта как последовательность поз
"Some motion files may have terms of use.
Please check these before using the file.","Некоторые движущиеся файлы могут иметь условия использования.
Пожалуйста, проверьте это перед использованием файла."
Cancel,Отмена
Start frame,Начальный кадр
End frame,Конечный кадр
License information:,Сведения о лицензии:
VRM information,Сведения о VRM
Copy license information,Копировать сведения о лицензии
The license information has been copied.,Сведения о лицензии скопированы.
Title,Название
Version,Версия
Author,Автор
Contact Information,Контактная информация
Browse,Обзор
