source,target
Program Files,Program Files
OpenToonz 1.%d,OpenToonz 1.%d
"It is necessary to install OpenToonz to export OpenToonz scene files. 
 Please check the OpenToonz Official Website to learn more about OpenToonz.","Для экспорта файлов сцен OpenToonz необходимо установить OpenToonz. 
 Чтобы узнать больше об OpenToonz, посетите официальный веб-сайт OpenToonz."
OpenToonz Official Home Page,Официальная домашняя страница OpenToonz
Install path settings for OpenToonz,Настройки пути установки OpenToonz
Browse,Обзор
Cancel,Отмена
Unknown error.,Неизвестная ошибка.
OpenToonz install path not specified.,Путь установки OpenToonz не указан.
Could not find “%s”.,Не удалось найти “%s”.
Application|*.app,Приложение|*.app
Exporting file. (%d/%d),Экспорт файла. (%d/%d)
